Seller SKU,Title,ASIN,Alternative ASINs,UPC,EAN,Brand,Product Group,Parent ASIN,Quantity,Package Length,Package Width,Package Height,Package Weight,FBA Competitors,FBA Eligible Competitors,FBM Competitors,FBM Eligible Competitors,BuyBox Fulfillment,BuyBox Seller Feedback Count,BuyBox Seller Positive Feedback Rating,Sales Rank Category,Sales Rank,Est. Number of Orders per Day,Est. Number of Effective Competitors,MSRP (List Price),Lowest FBA price,Lowest FBM price,BuyBox price,Cost,Referral Fee,FBA Fee,Total Fees,Total Costs,Est. Monthly Sales Share,Est. Monthly Profit Share,Est. Profit Margin,Est. Competitive Price,Est. Profit per Item
,Cold Steel 3V Pendleton Mini Hunter,B09DLGHG6Q,,7.05442E+11,,Cold Steel,BISS Basic,,,7.56,1.89,1.61,0.24,0,0,4,4,FBM,13680,93,fashion_display_on_website,255961,0.96,0.14,49.99,,39.85,39.85,24.95,5.98,3.19,9.17,34.12,1006.74,144.76,14,39.85,5.73
,Cold Steel Cavalier Rapier,B019RSXW0K,,7.05442E+11,,Cold Steel,Sports,,,46,9,6,5.85,0,0,4,4,FBM,979,85,sports_display_on_website,170031,0.13,0,799.99,,291.4,291.4,199.95,43.71,13.45,57.16,257.11,1125.21,132.41,12,291.4,34.29
,"Cold Steel Recon Tanto Fixed Blade Knife with Sheath, San Mai Steel, 7.0""",B07BDY2C39,,7.05442E+11,,Cold Steel,Sports,B088Z658FG,,13.03,3.7,2.13,0.99,2,2,29,28,FBA,383,100,home_improvement_display_on_website,121952,0.99,1,189.99,109.89,109.9,109.89,79.95,16.48,4.71,21.19,101.14,1631.87,129.94,8,109.89,8.75
,"Cold Steel 1911 Folding Knife with Liner Lock, Checkered Griv-Ex Handle, Ambidextrous Pocket Clip, and Flipper",B084PTJ9GM,,7.05442E+11,,Cold Steel,Sports,,,4.45,1.69,0.71,0.15,0,0,16,16,FBM,1133,90,sports_display_on_website,93683,0.78,0.43,42.99,,32.09,32.09,16.95,4.81,2.41,7.22,24.17,525.11,129.6,25,32.09,7.92
,Cold Steel Hand-and-A-Half Sword with Leather/Wood Scabbard,B000EXLAL6,,7.05442E+11,,Cold Steel,Sports,,,47.5,9.1,2.5,5,0,0,14,14,FBM,21244,93,sports_display_on_website,54379,1.63,0,469.99,,245.84,245.84,195.95,36.88,10.41,47.29,243.24,11902.55,125.88,1,245.84,2.6
,Cold Steel Razor Tip Broadhead Dart B625BR (40 Pack),B004QZ1N5G,B001I173A0,7.05442E+11,,Cold Steel,Sports,,,11.42,6.73,1.34,0.68,5,5,2,2,FBM,29169,94,sports_display_on_website,8774,7.32,4.75,27.95,23.16,23.97,23.97,13.95,3.6,3.19,6.79,20.74,915.45,123.36,13,23.97,3.23
,"Cold Steel, Drop Forged Fixed Knife, Battle Ring II, 3 1/2"" Grey Teflon Coated Blade, Secure-Ex Sheath with Ulti-Clip",B07MZY38C9,,7.05442E+11,,Cold Steel,Sports,B08KXBRCR7,,10.4,2.8,1.4,0.7,0,0,4,4,FBM,979,85,home_improvement_display_on_website,86086,0.38,0,89.99,,62.31,62.31,39.95,9.35,3.19,12.54,52.49,703.3,110.84,16,62.31,9.82
,"Cold Steel AD-10 and AD-15 Tactical Folding Knife with Lock and Pocket Clip - Premium S35VN Steel Blade, AD-10",B07MZW57XN,,7.05442E+11,,Cold Steel,Sports,B08C2X2SHK,,5.04,2.32,1.06,0.49,1,1,14,14,FBA,387,91,sports_display_on_website,22622,1.12,1,239.99,128.39,126.67,128.39,99.95,19.26,3.19,22.45,122.4,2156.95,100.63,5,128.39,5.99
,"Cold Steel 90WVBA Hunting Axes, Polished, One Size",B00U1IBFKA,,7.05442E+11,,Cold Steel,Sports,B08K4HZ68W,,30.12,7,1.75,1.95,1,1,0,0,,,,sports_display_on_website,66516,0.46,1,59.99,55,,,23.95,8.25,8.89,17.14,41.09,379.5,95.98,25,55,13.91
,"Cold Steel 4-Max Scout Folding Knife with Tri-Ad Lock and G-10 Handle, One Size",B0851QHMJZ,,7.05442E+11,,Cold Steel,Sports,,,6.54,2.44,1.22,0.68,14,14,23,23,FBA,387,91,sports_display_on_website,41443,2.04,3.2,129.99,81.82,80.48,81.83,59.95,12.27,3.19,15.46,75.41,1192.38,93.55,8,81.83,6.42
,"Cold Steel MAA Italian Long Sword , Black",B00HZI9HAY,B00OYJFR6K,7.05442E+11,,Cold Steel,Sports,,,49.4,10.6,2.8,6.05,1,1,3,3,FBA,387,91,sports_display_on_website,138494,0.25,1,359.99,206.99,224.23,206.99,143.95,31.05,11.17,42.22,186.17,776.21,78.08,10,206.99,20.82
,Cold Steel Marauder Plain Stone Wash Finish,B08R6J7Z7N,,7.05442E+11,,Cold Steel,Sports,,,14.96,3.31,1.73,1.22,10,10,9,9,FBA,95605,93,sports_display_on_website,62850,1.45,4.98,127.99,77.99,77.99,77.99,50.95,11.7,4.71,16.41,67.36,567.32,77.33,14,77.99,10.63
,Cold Steel 88CSAB 1917 Frontier Bowie,B00HZIDP1G,,7.05442E+11,,Cold Steel,Sports,,,19.84,6.3,3.62,2.95,2,2,3,3,FBA,95605,93,sports_display_on_website,114407,0.43,1.99,199.99,124,124.95,124,79.95,18.6,8.89,27.49,107.44,534.98,71.45,13,124,16.56
,Cold Steel San Mai Trail Master,B000NWROWC,B00ERX88DM,7.05442E+11,,Cold Steel,Sports,B088YZVRYL,,16.7,3.3,1.9,1.72,0,0,5,5,FBM,7039,87,sports_display_on_website,245525,0.04,0,499.99,,309.6,309.6,199.95,46.44,4.71,51.15,251.1,367.84,69.5,19,309.6,58.5
,Cold Steel 12 Inch Long Black Carbon Steel Professional Hunting Target Throwing Knife,B06VST3ZDJ,B01AALWNGM,7.05442E+11,,Cold Steel,Sports,,,14.41,4.53,1.14,1.82,16,16,4,4,FBA,7,100,sports_display_on_website,63223,1.44,7.55,73.99,28.95,28.95,28.95,5.95,4.34,5.09,9.43,15.38,146.27,68.56,47,28.95,13.57
,"Cold Steel Drop Forged Tomahawk Survival Hatchet - Great for Camping, Survival, Outdoors and Chopping Wood, Hudson Bay Hawk",B084PTY4KH,,7.05442E+11,,Cold Steel,Sports,,,22.15,7.8,0.6,1.55,0,0,2,2,,,,sports_display_on_website,143181,0.22,0,49.99,,44.99,,19.95,6.75,8.51,15.26,35.21,293.99,63.91,22,44.99,9.78
,"C-Clip Small (Pack of 2), Black",B07N6X568N,,7.05442E+11,,Cold Steel,Sports,,,5,2.5,0.6,0.05,1,1,4,4,FBM,41606,77,sports_display_on_website,29061,2.74,1.9,4.99,9.31,8.94,8.94,2.95,1.34,2.41,3.75,6.7,253.4,63.49,25,8.94,2.24
,"Cold Steel Talwar 5 1/2"" Plain Edge / 12 7/8"" Overall / 5",B09DLHPRSQ,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,2,2,4,4,FBM,13680,93,sports_display_on_website,133381,0.28,1,289.99,159.81,159.66,159.66,115.95,23.95,4.71,28.66,144.61,670.57,63.21,9,159.66,15.05
,"Cold Steel B625BB Long Range Bamboo Blowgun Darts for Bird and Small Animal Hunting, Compatible with Big Bore .625 Blowguns, Pack of 50",B004QYV8ES,,7.05442E+11,,Cold Steel,Sports,,,16,5.7,1.8,0.3,3,3,2,2,,,,sports_display_on_website,45017,1.91,1.99,0,15.76,16.97,,6.95,2.36,3.19,5.55,12.5,302.02,62.47,21,15.76,3.26
,"Cold Steel B6254PZ Professional .625 4'. Blowgun Hunting, White, Red, and Black",B01AALXG4A,,7.05442E+11,,Cold Steel,Sports,B08JJ8XWXD,,49.5,6,1.5,0.7,7,7,2,2,FBM,29169,94,sports_display_on_website,29451,0.54,1.17,49.99,49.99,46.97,46.97,22.95,7.05,8.89,15.94,38.89,350.65,60.32,17,46.97,8.08
,"Cold Steel Mini Tac Series Fixed Blade Knife with Sheath, Mini Tac Bowie, 3.63 in",B07CCWDP4J,,7.05442E+11,,Cold Steel,Sports,B088Z632GG,,7.4,2.2,0.7,0.2,1,1,25,21,FBA,387,91,home_improvement_display_on_website,82682,1.61,2.03,29.99,21.29,21.79,21.29,11.95,3.19,2.41,5.6,17.55,339.38,59.62,18,21.29,3.74
,"Cold Steel 4-Max / 10"" Overall / 4"" Blade / 4.8mm Thick / 6"" Long. G-1",B09DLF923X,,7.05442E+11,,Cold Steel,Sports,,,6.3,2.4,0.87,0.67,1,1,7,7,FBM,13680,93,sports_display_on_website,226583,0.05,0,499.99,392.13,379.65,379.65,279.95,56.95,3.19,60.14,340.09,563.84,58.75,10,379.65,39.56
,"Cold Steel Extra Large Drop Point Voyager / 12 1/4"" Overall / 5",B09DLFM489,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,0,0,4,4,FBM,5963,97,sports_display_on_website,133096,0.28,0,124.99,,72.35,72.35,49.95,10.85,4.71,15.56,65.51,601.72,56.89,9,72.35,6.84
,"Cold Steel AD-15 Lite / 8 1/2"" Overall / 3 1/2"" Blade/Thick",B09DLG8RK5,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,1,1,7,7,FBM,13680,93,sports_display_on_website,121240,0.36,1,159.99,91.87,91.57,91.57,63.95,13.74,4.71,18.45,82.4,494.48,49.52,10,91.57,9.17
,Cold Steel 88NOR Norman Sword,B0030DHISQ,,7.05442E+11,,Cold Steel,Sports,,,40,8.2,1.5,3.65,1,1,0,0,FBA,387,91,sports_display_on_website,184368,0.1,1,459.99,282.99,,282.99,199.95,42.45,9.27,51.72,251.67,424.49,46.98,11,282.99,31.32
,"Cold Steel Oyabun / 8 1/4"" Overall / 3 1/2"" Blade / 3.8mm Thick",B09DLFW91Y,,7.05442E+11,,Cold Steel,Sports,,,5.08,1.57,0.94,0.26,1,1,5,4,FBM,41606,77,sports_display_on_website,123938,0.34,0.36,69.99,51.45,43.12,43.43,27.95,6.51,3.19,9.7,37.65,325.73,43.35,13,43.43,5.78
,"Cold Steel Recon Tanto Fixed Blade Knife with Sheath, SK-5 Steel, 7.0"" (49LRT)",B07BHGB22X,,7.05442E+11,,Cold Steel,Sports,B088Z658FG,,13.03,3.78,2.13,0.98,0,0,6,6,,,,sports_display_on_website,34344,2.38,0,69.99,,48.55,,35.95,7.28,4.71,11.99,47.94,3432.15,43.12,1,48.55,0.61
,Cold Steel Riflemans Tomahawk Throwing Axe 90RH,B00HXCZQPM,"B000Q9BG4Y,B00KN6Q3IE",7.05442E+11,,Cold Steel,Sports,,,22,8.5,8.5,2.45,0,0,1,1,,,,sports_display_on_website,183377,0.11,0,,,50.9,,18.95,7.64,11.55,19.19,38.14,166.31,41.69,25,50.9,12.76
,"Cold Steel Mini Recon 1 Spear pt / 7"" Overall / 3"" Blade / 3mm Thick",B09DLJYL9J,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,0,0,2,2,FBM,13680,93,sports_display_on_website,221977,0.06,0,79.99,,67.99,67.99,31.95,10.2,4.71,14.91,46.86,121.17,37.66,31,67.99,21.13
,Cold Steel Big Bore Blowgun Kit - Includes Darts and Dart Quiver.625 Blowgun - 4 ft.,B019LIO6Y2,B00169OGX6,7.05442E+11,,Cold Steel,Sports,B08JJ8XWXD,,50,8,0.87,1.2,3,3,1,1,,,,sports_display_on_website,29451,0.54,2.9,44.99,45.51,53.99,,20.95,6.83,8.89,15.72,36.67,189.04,36.72,19,45.51,8.84
,"Cold Steel Viking Battle Axe with 1055 Carbon Steel Head, Viking Great Axe",B006YBXXCG,,7.05442E+11,,Cold Steel,Sports,B08K4HZ68W,,48.5,13.6,5.5,13,1,1,2,2,FBM,5963,97,sports_display_on_website,66516,0.46,0.93,184.99,133.13,130.75,130.75,89.95,19.61,16.11,35.72,125.67,934.9,36.32,4,130.75,5.08
,"Cold Steel 92RGC11C Rubber Training, 1911 Pistol Cocked & Locked",B00HZIOA74,,7.05442E+11,,Cold Steel,Sports,,,10,9,1.5,0.65,1,1,8,8,FBA,387,91,sports_display_on_website,87809,0.94,1.33,31.99,18.99,19.71,18.99,9.95,2.85,3.19,6.04,15.99,229.84,36.31,16,18.99,3
,"Cold Steel Air Lite Folding Knife with Japanese 10A Steel Blade, Tri-Ad Lock, Pocket Clip and G-10 Handle, Drop Point",B084PVNN7F,,7.05442E+11,,Cold Steel,Sports,,,5.04,1.65,0.83,0.23,3,3,13,13,FBA,387,91,sports_display_on_website,107965,0.51,2.09,99.99,66.32,64.99,66.33,45.95,9.95,3.19,13.14,59.09,328.43,35.85,11,66.33,7.24
,"Cold Steel Black Talon II Folding Knife with Tri-Ad Lock and Pocket Clip, Serrated, 4.0""",B07F7M8L5J,,7.05442E+11,,Cold Steel,Sports,B088Z9ZXJF,,6.3,2.01,0.94,0.34,1,1,2,2,FBM,13680,93,sports_display_on_website,148855,0.1,1,184.99,96.89,124.85,124.85,79.95,18.73,3.19,21.92,101.87,187.27,34.47,18,124.85,22.98
,Cold Steel G.I. Tanto Fixed Blade 7.0 in Black Plain Polymer,B00ERX9S3G,B004H9DO4Y,7.05442E+11,,Cold Steel,Sports,,,12.9,3.3,2,1.19,2,2,7,6,FBM,1505,96,sports_display_on_website,119919,0.38,1.43,,38.45,37.11,37.11,19.95,5.57,4.71,10.28,30.23,174.1,32.28,19,37.11,6.88
