Seller SKU,Title,ASIN,Alternative ASINs,UPC,EAN,Brand,Product Group,Parent ASIN,Quantity,Package Length,Package Width,Package Height,Package Weight,FBA Competitors,FBA Eligible Competitors,FBM Competitors,FBM Eligible Competitors,BuyBox Fulfillment,BuyBox Seller Feedback Count,BuyBox Seller Positive Feedback Rating,Sales Rank Category,Sales Rank,Est. Number of Orders per Day,Est. Number of Effective Competitors,MSRP (List Price),Lowest FBA price,Lowest FBM price,BuyBox price,Cost,Referral Fee,FBA Fee,Total Fees,Total Costs,Est. Monthly Sales Share,Est. Monthly Profit Share,Est. Profit Margin,Est. Competitive Price,Est. Profit per Item
,"Cold Steel Counter Point Folding Knife with Tri-Ad Lock and Pocket Clip, Counter Point 1",B07CG7436C,,7.05442E+11,,Cold Steel,Sports,B088Z5FKMF,,5.59,1.85,0.87,0.33,1,1,14,13,FBA,387,91,sports_display_on_website,81419,0.59,1,114.99,63.75,62.64,63.75,47.95,9.56,3.19,12.75,60.7,564.19,26.99,5,63.75,3.05
,"Cold Steel 29AXC Voyager Clip 5 1/2"" Plain Edge",B07DPW4LJG,,7.05442E+11,,Cold Steel,Sports,B088Z96S93,,7.36,2.4,0.94,0.52,1,1,17,16,FBA,387,91,sports_display_on_website,24034,0.36,1,119.99,68.28,66.97,68.28,49.95,10.24,3.19,13.43,63.38,368.71,26.46,7,68.28,4.9
,"Cold Steel Hide Out Fixed Knife, Black, Model:49NDE",B00BD4VNOY,B00FSWLXG0,7.05442E+11,,Cold Steel,Sports,,,7,1.7,0.7,0.1,1,1,11,11,FBA,387,91,sports_display_on_website,48466,1.8,1,35.99,25.11,27.66,25.11,17.95,3.77,2.41,6.18,24.13,677.97,26.46,4,25.11,0.98
,"Cold Steel MAA Hand-and -a-Half Sword , Black",B00HZIKYS8,,7.05442E+11,,Cold Steel,Sports,,,46.77,9.45,6.06,5.2,0,0,4,4,FBM,979,85,sports_display_on_website,267202,0.03,0,369.99,,223.39,223.39,147.95,33.51,14.21,47.72,195.67,199.06,24.7,12,223.39,27.72
,"Cold Steel Rubber Training Recon Tanto, Black",B001CZG19Q,B00TQIIDFQ,7.05442E+11,,Cold Steel,Sports,,,12,1,0.5,0.15,0,0,8,8,,,,sports_display_on_website,91930,0.82,1.54,10.99,,11.66,,4.95,1.75,2.41,4.16,9.11,112.93,24.7,22,11.66,2.55
,"Cold Steel All Purpose Tactical Machete with Sheath, Great for Clearing Brush, Survival, Camping and Outdoor Activities, Kukri Plus Machete",B00HZIF7N0,,7.05442E+11,,Cold Steel,Sports,,,19.69,3.94,1.18,1.32,3,3,3,3,FBA,9207,99,sports_display_on_website,84321,1.06,3.58,34.99,36.46,35.95,36.47,18.95,5.47,8.51,13.98,32.93,253.22,24.58,10,36.47,3.54
,"Cold Steel Oyabun Limited / 8.25 Overall / 3 1/2"" Blade / 3.8mm Thick",B09DLBLJMV,,7.05442E+11,,Cold Steel,Sports,,,7.48,3.5,2.48,0.24,2,2,9,9,FBA,95605,93,sports_display_on_website,130905,0.29,1,299.99,151.47,149.97,151.47,119.95,22.72,3.19,25.91,145.86,658.89,24.4,4,151.47,5.61
,"Cold Steel Warrior Series Katana Samurai Sword with Ray Skin Handle, Black Lacquered Wood Scabbard, Black Braid Cord and Brass Menuki, Chisa Katana",B000H6M8H0,,7.05442E+11,,Cold Steel,Sports,,,39.2,4.5,3.9,5.5,1,1,5,5,FBA,387,91,sports_display_on_website,151905,0.19,1,579.99,294.69,292.97,294.69,231.95,44.2,10.03,54.23,286.18,839.87,24.25,3,294.69,8.51
,"Cold Steel Double Agent Series Fixed Blade Knife with Sheath, Double Agent II",B0013ASC42,B001724TVQ,7.05442E+11,,Cold Steel,Sports,,,11.26,4.84,0.98,0.3,2,2,11,11,FBA,387,91,sports_display_on_website,82050,1.15,3.2,49.99,30.65,29.97,30.65,19.95,4.6,3.19,7.79,27.74,251.77,23.9,9,30.65,2.91
,"Cold Steel Luzon Series Folding Knife with Pocket Clip, Medium",B07BGHV3KN,,7.05442E+11,,Cold Steel,Sports,B08JWX3PW3,,5.24,1.5,0.75,0.24,2,2,25,25,FBA,387,91,home_improvement_display_on_website,109161,1.14,1.71,49.99,33.22,32.52,33.22,23.95,4.98,2.41,7.39,31.34,419.23,23.73,6,33.22,1.88
,"Cold Steel SR1 Series Tactical Folding Knife with Tri-Ad Lock and Pocket Clip, SR1 Lite",B084PV329G,,7.05442E+11,,Cold Steel,Sports,,,6.42,2.28,1.22,0.46,12,12,24,24,FBA,387,91,sports_display_on_website,48400,1.8,6.79,69.99,40.53,39.67,40.53,27.95,6.08,3.19,9.27,37.22,280.95,22.94,8,40.53,3.31
,"Cold Steel English Back Sword, 32""",B019RSY1EG,,7.05442E+11,,Cold Steel,Sports,,,41.3,7,6.1,6,1,1,3,3,FBA,387,91,sports_display_on_website,111141,0.47,1,399.99,205.99,224.99,205.99,159.95,30.9,11.93,42.83,202.78,1452.23,22.63,2,205.99,3.21
,"Cold Steel Brooklyn Basher Black, 24 inch/20 oz",B07BC4TYTZ,,7.05442E+11,,Cold Steel,Sports,B094WCW6M1,,24,2,2,1.8,0,0,14,14,,,,sports_display_on_website,61863,1.47,2.15,29.99,,25.94,,11.95,3.89,8.51,12.4,24.35,363.16,22.26,6,25.94,1.59
,"Cold Steel Voyager Series Folding Knife with Tri-Ad Lock and Pocket Clip, Kris, XL",B0851PNHB5,,7.05442E+11,,Cold Steel,Sports,B088Z96S93,,7.25,2.5,1,0.5,3,3,19,18,FBA,387,91,sports_display_on_website,24034,0.36,1.96,129.99,84.99,83.69,84.99,62.95,12.75,3.19,15.94,78.89,310.1,22.26,7,84.99,6.1
,"Cold Steel 39LSFCT Leatherneck Tanto 6.75in Fixed Blade Knife, Black",B0711CG2NP,,7.05442E+11,,Cold Steel,Sports,,,13.39,3.46,2.2,1.3,1,1,13,12,FBA,387,91,home_improvement_display_on_website,226031,0.17,1,114.99,71.99,72.29,71.99,47.95,10.8,4.71,15.51,63.46,183.57,21.75,12,71.99,8.53
,"Cold Steel 53NCTZ Tanto Spike Knife, Black",B00BD57SQ0,"B00FSWNYP8,B00J5QDZRA",7.05442E+11,,Cold Steel,Sports,,,11,5.5,0.2,0.25,0,0,1,1,,,,sports_display_on_website,221720,0.06,0.13,44.99,,39.99,,17.95,6,2.41,8.41,26.36,63.7,21.71,34,39.99,13.63
,Cold Steel Bowie Spike,B01HA9YBPI,,7.05442E+11,,Cold Steel,Sports,,,9.5,3.4,2.2,0.3,1,1,5,5,FBA,387,91,home_improvement_display_on_website,145890,0.62,1,44.99,27.5,29.65,27.5,17.95,4.13,3.19,7.32,25.27,255.75,20.74,8,27.5,2.23
,"Cold Steel Spetsnaz Tactical Camp Shovel Tool for Camping, Survival and Outdoors, Trench Shovel",B084PTSCTV,,7.05442E+11,,Cold Steel,Sports,B089ZNS2HW,,30,6.4,1.5,2.15,0,0,12,12,,,,sports_display_on_website,118861,0.39,0.42,39.99,,35.65,,18.95,5.35,8.89,14.24,33.19,293.74,20.27,7,35.65,2.46
,"Cold Steel 53NCC Drop Pt. Spike, Black/Silver",B00BD54OGC,B00FSWO47U,7.05442E+11,,Cold Steel,Sports,,,8.74,1.65,0.63,0.26,1,1,13,13,FBA,387,91,sports_display_on_website,88726,0.91,2.95,36.99,27.4,27.11,27.4,17.95,4.11,2.41,6.52,24.47,189.37,20.25,11,27.4,2.93
,Cold Steel FGX Boot Blade II Black,B00165ZBO8,B0019FG8FQ,7.05442E+11,,Cold Steel,Sports,,,7,3,1,0.1,0,0,7,7,,,,sports_display_on_website,90841,0.85,1.73,12.26,,9.73,,2.95,1.46,3.19,4.65,7.6,90.88,19.9,22,9.73,2.13
,"Cold Steel Big Bore Blowgun Kit - Includes Darts and Dart Quiver, Two-Piece Blowgun Black, 5'",B017KM3SQI,,7.05442E+11,,Cold Steel,Sports,B08JJ8XWXD,,35.3,8.7,1.5,1.5,1,1,0,0,FBA,387,91,sports_display_on_website,29451,0.54,1,49.99,44.99,,44.99,26.95,6.75,8.89,15.64,42.59,364.42,19.44,5,44.99,2.4
,"Cold Steel MAA Man at Arms Spear, American Spontoon, One Size (89MD)",B0862Y9LS4,,7.05442E+11,,Cold Steel,Sports,,,72,6,6,6.25,0,0,1,1,FBM,146,91,sports_display_on_website,412249,0.01,0,191.99,,194.99,194.99,86.95,29.25,15.14,44.39,131.34,57.92,18.91,33,194.99,63.65
,"Cold Steel Finn Hawk & Finn Bear Fixed Blade Hunting Knife with Sheath, Finn Hawk",B07BN222LD,,7.05442E+11,,Cold Steel,Sports,B088YX66YS,,16.42,6.38,4.65,0.75,0,0,1,1,,,,home_improvement_display_on_website,371291,0.03,0,27.99,,47.21,,15.95,7.08,3.19,10.27,26.22,42.07,18.7,44,47.21,20.99
,"Cold Steel Rubber Training Military Classic Knife , Black",B0016CV10O,B01AOC5KLC,7.05442E+11,,Cold Steel,Sports,,,12.24,2.64,1.14,0.2,1,1,5,5,FBM,2103,91,sports_display_on_website,50814,1.73,1.81,10.99,11.97,10.68,10.68,4.95,1.6,3.19,4.79,9.74,197.26,17.36,9,10.68,0.94
,"Cold Steel Finn Wolf Blue, 3 1/2""",B07CKV3FX8,,7.05442E+11,,Cold Steel,Sports,,,4.8,1.6,0.7,0.2,1,1,3,3,FBM,27514,77,sports_display_on_website,231557,0.05,0,64.99,51.74,46.87,46.87,25.95,7.03,2.41,9.44,35.39,69.61,17.05,24,46.87,11.48
,Cold Steel Double Agent I Grivory Grip (Secure-Ex Neck Sheath),B0017KZ5WK,,7.05442E+11,,Cold Steel,Sports,B088Z92TGS,,8,2.4,0.7,0.2,1,1,8,8,FBA,387,91,sports_display_on_website,116633,0.41,1.75,49.99,30.65,29.97,30.65,19.95,4.6,2.41,7.01,26.96,137.09,16.5,12,30.65,3.69
,"Cold Steel Ultimate Hunter Folding Knife with Tri-Ad Lock and Pocket Clip, Orange",B07H5S76RR,,7.05442E+11,,Cold Steel,Sports,B088Z98G5X,,5.63,1.89,0.87,0.34,1,1,10,10,FBA,387,91,home_improvement_display_on_website,218285,0.19,1,189.99,99.45,97.97,99.45,75.95,14.92,3.19,18.11,94.06,283.43,15.36,5,99.45,5.39
,"Cold Steel Rubber Training Peace Keeper Black, 12.25""",B0012QS986,"B005G2HL7C,B00OKXF9W2,B00LPSBJYW",7.05442E+11,,Cold Steel,Sports,,,12.52,2.13,1.42,0.2,0,0,6,5,,,,sports_display_on_website,104138,0.57,1.02,7.89,,11.71,,4.95,1.76,3.19,4.95,9.9,99.13,15.32,15,11.71,1.81
,Cold Steel Filipino Memorial Bolo,B07N6WM4BC,,7.05442E+11,,Cold Steel,Sports,,,30.1,5.2,3.3,3.45,0,0,4,4,FBM,979,85,fashion_display_on_website,1062378,0.02,0,299.99,,217.18,217.18,149.95,32.58,9.27,41.85,191.8,129.02,15.08,12,217.18,25.38
,"Cold Steel 90PTHF Trench Hawk, Flat Dark Earth, Boxed, 8.75""",B0719CVSNL,,7.05442E+11,,Cold Steel,Sports,,,20,9.76,0.98,2.15,1,1,3,3,FBM,13680,93,sports_display_on_website,245990,0.04,0,67.99,62.99,56.84,56.84,26.95,8.53,8.89,17.42,44.37,67.53,14.82,22,56.84,12.47
,"Cold Steel Tuff Lite Plain Edge (Red), One Size",B06XFXMZG5,,7.05442E+11,,Cold Steel,Sports,B088Z6DWWD,,4.41,1.69,0.91,0.19,1,1,22,21,FBA,387,91,pet_products_display_on_website,61662,0.47,1.15,50.99,33.39,33.7,33.39,22.95,5.01,3.19,8.2,31.15,218.98,14.69,7,33.39,2.24
,"Cold Steel Kitchen Classics Whole Set, Black, one Size",B019RSXE9O,,7.05442E+11,,Cold Steel,Sports,,,15,14.3,5.45,7.63,2,2,11,10,FBA,387,91,kitchen_display_on_website,122329,0.19,3,264.99,162.93,162.98,177.53,129.95,26.63,10.79,37.42,167.37,252.98,14.48,6,177.53,10.16
,Cold Steel Finn Wolf Folding Pocket Knife - 20NPF,B00U1I875Q,,7.05442E+11,,Cold Steel,Sports,,,4.72,1.65,0.94,0.22,2,2,25,25,FBA,387,91,sports_display_on_website,41257,2.05,2.42,64.99,35.21,35.06,35.21,25.95,5.28,3.19,8.47,34.42,633.16,14.21,2,35.21,0.79
,Cold Steel Perfect Balance Thrower,B0030DHIOK,B005NPEONG,7.05442E+11,,Cold Steel,Sports,,,14.6,3.4,1.7,1.15,1,1,7,7,FBA,387,91,sports_display_on_website,118102,0.39,2.43,25.99,32.73,32.03,32.73,18.95,4.91,4.71,9.62,28.57,111.64,14.19,13,32.73,4.16
,Cold Steel Pocket Shark,B001R0XNSI,"B00BGFQ46W,B00KN72ET0",7.05442E+11,,Cold Steel,Sports,,,9.8,4,1.3,0.15,0,0,6,6,,,,sports_display_on_website,92399,0.81,0.92,7.99,,8.52,,2.95,1.28,3.19,4.47,7.42,107.83,13.92,13,8.52,1.1
,"Cold Steel AK-47 Field Knife, 5 1/2""",B07MZX53DT,,7.05442E+11,,Cold Steel,Sports,B088YWDD7X,,14.53,3.58,2.01,1.06,3,3,0,0,FBA,,,home_improvement_display_on_website,229978,0.08,3,234.99,149.99,,149.99,99.95,22.5,4.71,27.21,127.16,89.99,13.7,15,149.99,22.83
,"Cold Steel Mini Buckler / 9"" Diameter Overall / 10mm Thick",B095PHKBYX,,7.05442E+11,,Cold Steel,Sports,,,10.99,9.97,3.74,1.34,3,3,9,9,FBA,387,91,sports_display_on_website,110580,0.48,2.72,36.99,27.35,26.69,27.35,14.95,4.1,5.09,9.19,24.14,105.87,12.43,12,27.35,3.21
,"Cold Steel 92R39LSF Rubber Training Leatherneck SF Knife,Black",B004MMU5G6,B01HNJCY36,7.05442E+11,,Cold Steel,Sports,B07JNPZJ4H,,12.44,2.95,1.3,0.26,0,0,8,8,,,,sports_display_on_website,105410,0.55,1.51,10.99,,11.74,,4.95,1.76,3.19,4.95,9.9,77.18,12.1,16,11.74,1.84
,"Cold Steel Tuff Lite Plain (Flat Dark Earth), one Size",B06XMQGF5R,,7.05442E+11,,Cold Steel,Sports,B088Z6DWWD,,4.49,1.73,0.87,0.13,1,1,13,13,FBM,41606,77,sports_display_on_website,37748,0.44,1.36,50.99,33.99,33.21,33.21,22.95,4.98,3.19,8.17,31.12,185.75,11.69,6,33.21,2.09
,Cold Steel FGX Skean Dhu Knife,B0019FJI6W,B0017V1BFO,7.05442E+11,,Cold Steel,Sports,,,9.53,2.95,0.79,0.09,4,4,1,1,FBA,63,87,sports_display_on_website,92172,0.82,3.92,12.99,9.95,10.44,9.95,2.95,1.49,3.19,4.68,7.63,49.75,11.6,23,9.95,2.32
,"Cold Steel Kiridashi, 2.5 in",B083W6BNK2,,7.05442E+11,,Cold Steel,Sports,,,4.37,1.73,0.83,0.17,2,2,18,18,FBA,387,91,sports_display_on_website,67284,1.37,1,42.99,29.06,31.88,29.06,20.95,4.36,3.19,7.55,28.5,597.18,11.51,2,29.06,0.56
,"Cold Steel Cheap Shot Polymer Archery Broadheads for Bows and Crossbows, Buzzsaw (Pack of 10), 100 Grain, Model: CSBH6Z",B07N74J4PK,,7.05442E+11,,Cold Steel,Sports,B08974GQBG,,7.56,7.28,1.42,0.26,0,0,1,1,,,,sports_display_on_website,92543,0.07,0.59,16.99,,25.69,,9.95,3.85,3.19,7.04,16.99,33.93,11.49,34,25.69,8.7
,"Cold Steel Talwar Sword , Black",B00U1IB0KK,,7.05442E+11,,Cold Steel,Sports,,,37.8,7.6,4.1,5.05,1,1,1,1,FBA,387,91,sports_display_on_website,297727,0.02,1,399.99,243.99,243.98,243.99,159.95,36.6,10.79,47.39,207.34,73.2,11,15,243.99,36.65
,Cold Steel Royal Kukri Machete - 97KMIGS,B00BD4W1DQ,,7.05442E+11,,Cold Steel,Sports,,,20.31,3.54,1.1,1.6,1,1,0,0,FBA,3,100,lawn_and_garden_display_on_website,97868,0.04,1,41.99,55,,55,19.95,8.25,8.51,16.76,36.71,33,10.97,33,55,18.29
,"Cold Steel 88HCS Saber, 1860 Heavy Cavalry",B000Q9GCYI,,7.05442E+11,,Cold Steel,Sports,,,45.24,5.51,4.53,5.6,0,0,5,5,FBM,4163,95,sports_display_on_website,314841,0.02,1.25,399.99,,234.26,245.19,159.95,36.78,10.41,47.19,207.14,65.38,10.15,16,245.19,38.05
,"Cold Steel Big Bore Blowgun Kit - Includes Darts and Dart Quiver, 2-Foot .625 Blowgun Extension",B001I1235A,,7.05442E+11,,Cold Steel,Kitchen,B08JJ8XWXD,,26,1.1,1.1,0.3,0,0,1,1,FBM,29169,94,sports_display_on_website,29451,0.54,0.7,13.99,,18.97,18.97,6.95,2.85,8.13,10.98,17.93,180.77,9.91,5,18.97,1.04
,Cold Steel Finn Wolf Blaze Orange Blade One Hand Open Knife Folding Camping Knives,B07CMGJ9WV,,7.05442E+11,,Cold Steel,Sports,,,5,1.61,0.79,0.23,2,2,13,13,FBA,387,91,home_improvement_display_on_website,189991,0.29,2.54,64.99,38.87,37.97,38.87,25.95,5.83,3.19,9.02,34.97,95.53,9.58,10,38.87,3.9
,"Cold Steel AD-10 and AD-15 Tactical Folding Knife with Lock and Pocket Clip - Premium S35VN Steel Blade, AD-15 Black, 3 1/2""",B0851PV37V,,7.05442E+11,,Cold Steel,Sports,B08C2X2SHK,,5.63,1.85,0.87,0.43,1,1,10,10,FBM,29169,94,sports_display_on_website,237031,0.05,0,269.99,189.99,163.96,163.97,129.95,24.6,3.19,27.79,157.74,243.52,9.25,4,163.97,6.23
,"Cold Steel unisex-adult FGX Karambit Black ,One Size",B000Y877CW,B0016CTAOI,7.05442E+11,,Cold Steel,Sports,,,11.2,4,0.8,0.15,2,2,5,5,FBM,12319,91,sports_display_on_website,80830,1.18,3.08,9.99,9.89,9.6,9.6,3.95,1.44,3.19,4.63,8.58,83.29,8.85,11,9.6,1.02
,"Cold Steel Ultimate Hunter Folding Knife with Tri-Ad Lock and Pocket Clip, Black",B07MLG7KTM,,7.05442E+11,,Cold Steel,Sports,B088Z98G5X,,5.5,1.9,0.8,0.3,1,1,10,10,FBA,387,91,sports_display_on_website,184247,0.1,1,189.99,99.94,99.79,99.94,75.95,14.99,3.19,18.18,94.13,149.91,8.72,6,99.94,5.81
,"Cold Steel Mini Tac Series Fixed Blade Knife with Sheath, Mini Tac Tanto, One Size",B0030DDFRY,B007K8R2QK,7.05442E+11,,Cold Steel,Sports,B088Z632GG,,13.46,12.13,6.5,0.73,1,1,14,14,FBM,29169,94,sports_display_on_website,105957,0.18,0.96,51.99,34.99,31.97,31.97,20.95,4.8,3.19,7.99,28.94,88.08,8.35,9,31.97,3.03
,Cold Steel Big Bore .625 Magnum Stun Dart B625SA,B004XXB4FK,,7.05442E+11,,Cold Steel,Sports,,,10.08,6.81,1.81,0.57,7,7,5,5,,,,sports_display_on_website,51374,1.71,6.2,21.99,14.39,15.34,,7.95,2.16,3.19,5.35,13.3,102.53,7.77,8,14.39,1.09
,"Cold Steel Sax Knife with Leather Sheath, Woodsman's Sax",B0862YFDNL,,7.05442E+11,,Cold Steel,Sports,,,20.83,5.43,2.52,2.43,0,0,3,3,FBM,29169,94,sports_display_on_website,221402,0.06,0,124.99,,85.97,85.97,59.95,12.9,8.89,21.79,81.74,153.21,7.54,5,85.97,4.23
,"Cold Steel Crawford Model 1 Folding Knife with Pocket Clip, 3 1/2"" Blade, Zy-Ex Handle",B07MZX53DL,,7.05442E+11,,Cold Steel,Sports,,,5.63,4.8,0.91,0.3,1,1,22,22,FBA,387,91,home_improvement_display_on_website,197705,0.26,2.37,49.99,35.71,34.96,35.71,23.95,5.36,3.19,8.55,32.5,82.65,7.43,9,35.71,3.21
,"Cold Steel Mini Tac Tanto Serrated 49HTFS,black and silver",B006YBWXM2,,7.05442E+11,,Cold Steel,Sports,B088Z632GG,,7.8,2.3,0.8,0.15,1,1,5,5,FBA,387,91,sports_display_on_website,105957,0.18,1.73,49.99,32.69,31.97,32.69,20.95,4.9,3.19,8.09,29.04,64.66,7.22,11,32.69,3.65
,Cold Steel FGX CAT Tanto,B00HXCU5CG,B000WAC88K,7.05442E+11,,Cold Steel,Sports,,,13.39,3.58,0.91,0.24,1,1,1,1,FBA,387,91,sports_display_on_website,122493,0.35,1,9.99,9.99,15.72,9.99,3.95,1.5,3.19,4.69,8.64,52.45,7.09,14,9.99,1.35
,"Cold Steel Bush Ranger Lite, Green, 3.5""",B07BDR66L6,,7.05442E+11,,Cold Steel,Sports,,,6.4,2.3,1.1,0.35,0,0,19,19,FBM,95605,93,home_improvement_display_on_website,156191,0.51,0.5,49.99,,36.21,36.21,26.95,5.43,3.19,8.62,35.57,369.34,6.53,2,36.21,0.64
,"Cold Steel Outdoorsman Fixed Blade Knife with Sheath, Outdoorsman in San Mai Steel, 6.0 Inch Blade (35AP)",B07N6WM5T8,,7.05442E+11,,Cold Steel,Sports,B088ZDBHFK,,13.2,3.7,2.2,0.95,2,2,18,18,FBA,387,91,home_improvement_display_on_website,256050,0.12,1.79,219.99,126.63,124.97,126.63,97.95,18.99,4.71,23.7,121.65,163.39,6.43,4,126.63,4.98
,Cold Steel Scottish Dirk,B000Q9GD10,,7.05442E+11,,Cold Steel,Sports,,,21,3.2,2.5,2.15,0,0,4,4,FBM,41606,77,sports_display_on_website,203509,0.08,0,149.99,,95.7,95.7,69.95,14.36,8.89,23.25,93.2,227.41,5.94,3,95.7,2.5
,"Cold Steel Range Boss Black Handle / 9 1/4"" Overall",B09DLFK6DH,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,1,1,8,8,FBM,41606,77,sports_display_on_website,186110,0.1,1.18,51.99,40.96,40.97,40.98,25.95,6.15,4.71,10.86,36.81,56.39,5.74,10,40.98,4.17
,"Delta Dart Cold Steel 92dd, 2 Count.",B00KN77DSC,"B000BT1G4E,B00LNN3CQW",7.05442E+11,,Cold Steel,Sports,B07K1Y8CPG,,10,8,0.6,0.15,0,0,1,1,,,,sports_display_on_website,212622,0.07,0.8,,,10.87,,1.95,1.63,2.41,4.04,5.99,12.68,5.69,45,10.87,4.88
,Cold Steel Bird & Trout Steel Handle (Concealex Sheath),B000BSZDNK,"B00FSXKMB6,B000BYI5LQ",7.05442E+11,,Cold Steel,Sports,,,9.65,3.54,2.36,0.22,0,0,6,6,,,,sports_display_on_website,200750,0.08,1.48,28.99,,24.45,,11.95,3.67,3.19,6.86,18.81,23.66,5.46,23,24.45,5.64
,"Crawford Model 1 (Black) / 8 3/8"" Overall / 3 1/2"" Blade",B09DLF54D4,,7.05442E+11,,Cold Steel,Sports,,,5.16,2.2,0.87,0.22,2,2,6,6,FBA,1151,91,sports_display_on_website,172357,0.13,3.66,49.99,40.28,39.37,40.28,24.95,6.04,3.19,9.23,34.18,33.71,5.11,15,40.28,6.1
,Cold Steel Bushman Knife With Sheath 95BUSKZ,B00BD4W54Q,B00M3FOB2I,7.05442E+11,,Cold Steel,Sports,B08FBZT67N,,13.19,3.62,2.13,1.01,2,2,14,14,FBA,387,91,home_improvement_display_on_website,118352,1.03,2.27,41.99,21.4,22.27,21.41,12.95,3.21,4.71,7.92,20.87,202.31,5.1,3,21.41,0.54
,"Cold Steel Colichemarde Sword with Uniquely Shaped Blade, Grey/Silver, one Size (CS88CLMS)",B0030DBH9W,,7.05442E+11,,Cold Steel,Sports,,,41.5,5.5,5.5,3.5,0,0,4,4,FBM,,,sports_display_on_website,253397,0.04,0.96,469.99,,271.82,286.98,224.95,43.05,10.79,53.84,278.79,175.7,5.01,3,286.98,8.19
,"Cold Steel Large Drop Point Voyager / 9 1/4"" Overall",B09DLCM3V8,,7.05442E+11,,Cold Steel,Sports,,,6.3,2.01,1.06,0.35,3,3,6,6,FBM,29169,94,sports_display_on_website,223450,0.06,0.3,99.99,58.64,54.97,54.97,39.95,8.25,3.19,11.44,51.39,76.11,4.96,7,54.97,3.58
,"Cold Steel Cheap Shot Polymer Archery Broadheads for Bows and Crossbows, Buzzsaw (Pack of 40), 100 Grain (CSBH6L)",B07N73CXY1,,7.05442E+11,,Cold Steel,Sports,B08974GQBG,,9.45,2.28,1.77,0.65,2,2,4,4,FBA,9207,99,sports_display_on_website,92543,0.07,2,54.99,43.56,43.99,43.56,26.95,6.53,3.19,9.72,36.67,30.49,4.82,16,43.56,6.89
,"Cold Steel Cheap Shot Polymer Archery Broadheads for Bows and Crossbows, Wrecking Ball (Pack of 10), 125 Grain (CSBH3P)",B07N6FVPRY,,7.05442E+11,,Cold Steel,Sports,B08974GQBG,,7.4,6.2,0.1,0.15,0,0,5,5,FBM,41606,77,sports_display_on_website,92543,0.07,2.14,9.99,,15.82,15.83,3.95,2.37,2.41,4.78,8.73,10.59,4.75,45,15.83,7.1
,"Cold Steel Tanto Lite Fixed 6 in Blade Kray-Ex Handle, Black (20TL)",B081QM84GP,,7.05442E+11,,Cold Steel,Sports,,,12.2,2.36,1.57,0.66,1,1,1,1,FBM,41606,77,sports_display_on_website,233645,0.05,1.3,40.99,36.04,35.76,35.76,19.95,5.36,3.19,8.55,28.5,23.32,4.73,20,35.76,7.26
,"Cold Steel Nightfall Series Premium Fixed Blade Knife with Sheath, Tai Pan",B082R12F8M,,7.05442E+11,,Cold Steel,Sports,B088ZB2B6C,,15.12,4.17,2.56,1.15,7,7,2,2,FBA,95605,93,sports_display_on_website,213518,0.01,1,379.99,219.08,231.38,219.08,151.95,32.86,4.71,37.57,189.52,32.86,4.43,13,219.08,29.56
,Cold Steel Shanghai Shadow Knife with Secure-Ex Sheath,B004Z4CU78,B0017KV05Q,7.05442E+11,,Cold Steel,Sports,,,14.5,3.5,1.7,1.1,1,1,6,6,,,,sports_display_on_website,177282,0.12,1.36,42.99,32.37,32.46,,19.95,4.86,4.71,9.57,29.52,49.38,4.35,9,32.37,2.85
,"Cold Steel ""Lucky"" Dual-Blade Folding Pocket Knife, Plain/Serrated Blade - 54VPN",B00U1IA4GG,,7.05442E+11,,Cold Steel,Sports,,,5.3,2.3,1,0.2,2,2,8,8,FBA,19549,98,sports_display_on_website,260488,0.03,1,119.99,76.09,74.89,76.09,51.95,11.41,3.19,14.6,66.55,34.24,4.29,13,76.09,9.54
,Cold Steel 20NPFZ Finn Wolf Folding Knife OD Green,B01AALWCFE,,7.05442E+11,,Cold Steel,Sports,,,10.79,1.97,0.55,0.31,1,1,2,2,FBM,29169,94,sports_display_on_website,214659,0.06,0.22,64.99,42.39,37.97,37.97,26.95,5.7,2.41,8.11,35.06,56.02,4.29,8,37.97,2.91
,"COLDSTEEL Cold Steel Bushman Knife With 7"" Blade Secure-Ex Sheath 14.75in. x 3.5in. x 2.25in.",B00M3FOB2I,B00BD4W54Q,7.05442E+11,,COLD STEEL,Sports,,,17.91,2.87,2.44,1.06,8,8,9,8,FBA,64,92,sports_display_on_website,57428,1.56,6.09,,21.54,22.31,21.54,12.95,3.23,4.71,7.94,20.89,142.18,4.29,3,21.54,0.65
,"Cold Steel 1849 Rifleman?s Knife, Brown/Silver, 12""",B0731DB4G6,,7.05442E+11,,Cold Steel,Sports,,,19.02,4.61,3.19,2.7,1,1,11,11,FBA,387,91,sports_display_on_website,214757,0.06,1,199.99,109.99,109.97,109.99,79.95,16.5,8.89,25.39,105.34,98.99,4.18,4,109.99,4.65
,"Cold Steel Rubber Training Laredo Bowie Knife, Multi, One Size",B006YBXZB0,,7.05442E+11,,Cold Steel,Sports,,,17.32,3.5,1.65,0.5,0,0,4,4,,,,sports_display_on_website,180767,0.11,0.78,15.99,,12.21,,4.95,1.83,3.19,5.02,9.97,22.64,4.15,18,12.21,2.24
